premise,hypothesis,label
A person on a horse jumps over a broken down airplane.,"A person is indoors, on a horse.","contradiction
"
Adults smiling and waving at camera,There are children present,"contradiction
"
An older man is drinking orange juice at a restaurant.,A man in a restaurant is drinking a beverage.,entailment
A car sinking in water.,A white car is flooding.,neutral
A man bending to pick something up he dropped.,A man dropped something and is picking it up.,entailment
"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A dark haired man drinking water from a fountain.,contradiction
a kid doing tricks on a skateboard on a bridge,a kid is on a bridge,entailment
Three small puppies bite and play together in the grass.,They are playing at the kitchen.,contradiction
a kid doing tricks on a skateboard on a bridge,a kid is running,contradiction
"Two women, holding food carryout containers, argue.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",contradiction
A man is surfing in a bodysuit in beautiful blue water.,A man in a bodysuit is surfing,entailment
A group of four kids stand in front of a statue of a large animal.,three kids standing,contradiction
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning homerun.,contradiction
A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out to win the game.,neutral
A girl is playing with toys inside of a tub of water.,A girl is in a tub.,entailment
The school is having a special event in order to show the american culture on how other cultures are dealt with in parties.,A school hosts a special event about cultures.,entailment
Four dirty and barefooted children.,four kids won awards for 'dirtiest feet',neutral
A man in a yellow shirt is reading a book.,A man is reading.,entailment
A man unlocks a blue garage door.,A man unlocks a garage door to his girlfriend's house.,neutral
A woman wearing a green and pink dress is dancing with someone wearing a blue top with white pants.,The woman in blue and pink is dancing.,contradiction
Two women with purses walk in an urban location.,Two women are sitting outside.,contradiction
A man appears to be closing a gate next to a nail-gloss ad.,A man is opening his gate after parking his car,contradiction
A man in a blue shirt locks a blue shutter next to a nail polish advertisement.,The man is not wearing cloths.,contradiction
A girl in a black t-shirt laughs at a man in a black t-shirt who is telling a story.,She tells a story about his childhood,contradiction
"A woman holds a yellow stick and pokes the tarp over a floral display during a rainstorm, releasing large quantities of water to the ground.",the woman is standing in the sun.,contradiction
Group of children playing soccer with body of water in the background.,The children are happy.,neutral
Young riders on an amusement park ride.,Young Children not doing their homework,entailment
An adult couple enjoys time in a hot tub.,A couple is eating in a hot tub.,neutral
